precision,recall,f1,anomaly_rate_pred,anomaly_rate_true,test_size,name,category
0.1,1.0,0.18181818181818182,0.030395136778115502,0.00303951367781155,329,exchange-4_cpm_results,realAdExchange
0.25,1.0,0.4,0.009913258983890954,0.0024783147459727386,807,ec2_cpu_utilization_24ae8d,realAWSCloudwatch
0.002136752136752137,1.0,0.0042643923240938165,0.5799256505576208,0.0012391573729863693,807,ec2_cpu_utilization_ac20cd,realAWSCloudwatch
0.045454545454545456,1.0,0.08695652173913043,0.027261462205700124,0.0012391573729863693,807,elb_request_count_8c0756,realAWSCloudwatch
0.001152073732718894,1.0,0.0023014959723820483,0.9383783783783783,0.001081081081081081,925,grok_asg_anomaly,realAWSCloudwatch
0.0012391573729863693,1.0,0.0024752475247524753,1.0,0.0012391573729863693,807,rds_cpu_utilization_cc0c53,realAWSCloudwatch
0.0029411764705882353,1.0,0.005865102639296188,0.23383768913342504,0.000687757909215956,1454,ambient_temperature_system_failure,realKnownCause
0.0010460251046025104,0.5,0.0020876826722338203,0.26481994459833796,0.000554016620498615,3610,cpu_utilization_asg_misconfiguration,realKnownCause
0.05263157894736842,1.0,0.1,0.04708798017348203,0.0024783147459727386,807,ec2_request_latency_system_failure,realKnownCause
0.0022026431718061676,1.0,0.004395604395604396,0.10002203128442388,0.0002203128442388191,4539,machine_temperature_system_failure,realKnownCause
0.027777777777777776,1.0,0.05405405405405406,0.05232558139534884,0.0014534883720930232,2064,nyc_taxi,realKnownCause
0.0625,1.0,0.11764705882352941,0.064,0.004,500,occupancy_t4013,realTraffic
0.038461538461538464,1.0,0.07407407407407407,0.052,0.002,500,speed_6005,realTraffic
0.05128205128205128,1.0,0.0975609756097561,0.17256637168141592,0.008849557522123894,226,speed_7578,realTraffic
0.058823529411764705,1.0,0.1111111111111111,0.06813627254509018,0.004008016032064128,499,speed_t4013,realTraffic
0.0,0.0,0.0,0.01261431725007884,0.000315357931251971,3171,Twitter_volume_CVS,realTweets
0.006756756756756757,1.0,0.013422818791946308,0.04655552060396351,0.00031456432840515884,3179,Twitter_volume_IBM,realTweets
0.019230769230769232,1.0,0.03773584905660377,0.01639861242510249,0.000315357931251971,3171,Twitter_volume_KO,realTweets
