name,precision,recall,f1,test_size
realAdExchange/exchange-4_cpm_results,0.75,0.07317073170731707,0.13333333333333333,329
realAWSCloudwatch/ec2_cpu_utilization_24ae8d,0.0,0.0,0.0,807
realAWSCloudwatch/ec2_cpu_utilization_ac20cd,0.0,0.0,0.0,807
realAWSCloudwatch/elb_request_count_8c0756,1.0,0.01990049751243781,0.03902439024390244,807
realAWSCloudwatch/grok_asg_anomaly,0.20833333333333334,0.07407407407407407,0.1092896174863388,925
realAWSCloudwatch/rds_cpu_utilization_cc0c53,0.0,0.0,0.0,807
realKnownCause/ambient_temperature_system_failure,0.0,0.0,0.0,1454
realKnownCause/cpu_utilization_asg_misconfiguration,0.0,0.0,0.0,3610
realKnownCause/ec2_request_latency_system_failure,1.0,0.004739336492890996,0.009433962264150943,807
realKnownCause/machine_temperature_system_failure,0.0,0.0,0.0,4539
realKnownCause/nyc_taxi,0.0,0.0,0.0,2064
realTraffic/occupancy_t4013,0.0,0.0,0.0,500
realTraffic/speed_6005,1.0,0.0041841004184100415,0.008333333333333333,500
realTraffic/speed_7578,1.0,0.05172413793103448,0.09836065573770492,226
realTraffic/speed_t4013,0.0,0.0,0.0,499
realTweets/Twitter_volume_CVS,0.7714285714285715,0.2040302267002519,0.32270916334661354,3171
realTweets/Twitter_volume_IBM,0.0,0.0,0.0,3179
realTweets/Twitter_volume_KO,0.6477272727272727,0.10775047258979206,0.1847649918962723,3171
